Index,Title,Views
82,Match The Ex Girlfriend To The Boyfriend ft JiDion,7.2M views
83,BETA SQUAD GO BACK TO SCHOOL,9.2M views
84,Who Can MAKE The MOST MONEY in 24 Hours (USA EDITION),10M views
85,We Pretended To Work At McDonalds (USA EDITION),12M views
86,FAMILY FEUD: BETA SQUAD EDITION,9.1M views
87,Match The Boyfriend To The Girlfriend,7.6M views
88,GUESS THE CELEBRITY,11M views
89,6 Old People vs 1 Secret Young Person (FINALE),14M views
90,6 Old People vs 1 Secret Young Person,11M views
91,We Challenged A SWAT Team To Hide And Seek (PRISON EDITION),7.7M views
92,THE WEAKEST LINK: BETA SQUAD EDITION,9.8M views
93,BETA SQUAD SLIP N SLIDE FOOTBALL CHALLENGE,9.5M views
94,Match The Girlfriend To The Boyfriend,10M views
95,GUESS THE BLACK PERSON FT KSI,31M views
96,BIGGEST VS SMALLEST HOTEL CHALLENGE,9.8M views
97,BETA SQUAD EXTREME DATING,7M views
98,6 White People Vs 1 Secret Black Person (FINALE),19M views
99,6 White People vs 1 Secret Black Person,13M views
100,BETA SQUAD MUKBANG,5.4M views
101,GUESS THE POLICE OFFICER,17M views
102,FUNNIEST MAFIA GAME FT HARRY PINERO (DUNK TANK FORFEIT),5.2M views
103,We Pretended To Be Stand Up Comedians (KICKED OUT),6.2M views
104,GUESS THE VIRGIN,15M views
105,We Turned Strangers Into Professional Boxers,2.6M views
106,CRAZIEST MAFIA GAME Ft Deji (ATTACK DOG FORFEIT),6M views
107,We Pretended To Work At The Grocery Store (Fake Employee Prank),7.9M views
108,GUESS THE CONVICT,13M views
109,We Challenged a SWAT Team to Hide and Seek,7.1M views
110,FUNNIEST MAFIA GAME Ft WillNE (CHILLI FORFEIT),4.9M views
111,GUESS THE MILLIONAIRE,17M views
112,We Played AMONG US In Real Life,6.3M views
113,We Pretended To Work At Starbucks Drive Thru (Fake Employee Prank),10M views
114,CRAZIEST MAFIA GAME Ft Yung Filly (PAINTBALL FORFEIT),7.3M views
115,GUESS THE BLACK PERSON,17M views
116,"Our NEW £5,000,000 Beta Squad House (Full Tour)",2.9M views
117,FUNNIEST MAFIA GAME Ft. AnEsonGib (BOXING FORFEIT),4.6M views
118,We Pretended To Work At McDonalds Drive Thru (Fake Employee Prank) #2,3.9M views
119,We Pretended To Work At McDonalds Drive Thru (Fake Employee Prank),6M views
120,"DON'T BREAK iPhone 11 And Win £1,000 - iPhone Drop Test Challenge",2.5M views
121,SAVAGE MAFIA GAME Ft. Michael Dapaah (SHAVE HEAD FORFEIT),4.2M views
122,Extreme HIDE AND SEEK In HIGH SCHOOL - Challenge,3.5M views
123,Beta Squad: The Return (Official Trailer),823K views
124,We Pretended To Work At The Grocery Store (Fake Employee Prank),5.9M views
125,"$10 DATE VS $10,000 DATE CHALLENGE",3.7M views
126,"Last To Drown Wins £10,000 Challenge - Mafia #3",8.5M views
127,Who Can Make The BIGGEST FOOD Challenge (GIANT PIZZA),2.4M views
128,"Last To Stop Eating Chilli Wins £10,000 Challenge - Mafia #2",3.9M views
129,Who can LOSE the MOST WEIGHT in 24 Hours Challenge,2.5M views
130,"Living on £1 for 24 Hours - £10,000 Challenge",3.7M views
131,Who Can WIN The Most Money in 24 Hours Challenge,4.5M views
132,"Last To Get Shot Wins £10,000 Challenge - Mafia",5.5M views
133,Who Can Make The BIGGEST FOOD Challenge (GIANT BURGER),5.6M views
134,"$10 HOTEL VS $10,000,000 HOTEL CHALLENGE",6M views
135,Who Can Make The LOUDEST SOUND Challenge,2.7M views
136,"Destroy The Unbreakable Box, Win £10,000 - Challenge",3.7M views
137,SLIME POOL PRANK (Mystery Wheel Challenge),2.2M views
138,Who Can MAKE The MOST MONEY in 24 Hours Challenge,2.8M views
139,INTRODUCING... Beta Squad,1.4M views
